Gene	CTL_7	CTL_9	SLE_13	SLE_14	sh7278_1	sh7278_2	shNC_1	shNC_2	Symbol	Chr	GeneType	Description
ENSG00000130402.11	50.76	52.46	85.72	70.46	32.39	28.28	33.35	29.25	ACTN4	chr19	protein_coding	actinin, alpha 4
ENSG00000256060.2	0.81	1.13	0.89	1.13	2.96	2.96	2.47	3.19	TRAPPC2B	chr19	protein_coding	trafficking protein particle complex 2B
ENSG00000245059.2	0.0	0.07	0.04	0.0	0.0	0.0	0.02	0.08	RP11-303E16.7	chr16	lincRNA	--
ENSG00000225172.5	0.0	0.04	0.18	0.0	0.0	0.04	0.02	0.03	RP11-16L9.2	chr1	lincRNA	--
ENSG00000112309.10	0.0	0.02	0.01	0.02	0.09	0.11	0.14	0.07	B3GAT2	chr6	protein_coding	beta-1,3-glucuronyltransferase 2
ENSG00000279856.1	0.0	0.04	0.2	0.03	0.0	0.0	0.0	0.0	CTD-2300H10.2	chr16	TEC	--
ENSG00000165084.15	0.04	0.12	0.09	0.02	0.01	0.01	0.01	0.01	C8orf34	chr8	protein_coding	chromosome 8 open reading frame 34
ENSG00000110090.12	13.15	15.21	9.36	19.33	24.2	21.54	25.51	22.9	CPT1A	chr11	protein_coding	carnitine palmitoyltransferase 1A (liver)
ENSG00000101342.9	0.04	0.06	0.05	0.06	0.13	0.1	0.08	0.09	TLDC2	chr20	protein_coding	TBC/LysM-associated domain containing 2
ENSG00000188676.13	0.03	0.07	0.0	0.04	0.0	0.0	0.0	0.0	IDO2	chr8	protein_coding	indoleamine 2,3-dioxygenase 2
ENSG00000185499.16	0.2	0.24	0.31	0.59	0.23	0.16	0.3	0.15	MUC1	chr1	protein_coding	mucin 1, cell surface associated
ENSG00000153487.12	4.12	2.73	4.27	4.8	5.41	6.04	5.75	5.86	ING1	chr13	protein_coding	inhibitor of growth family, member 1
ENSG00000267709.1	0.0	0.07	0.03	0.0	0.0	0.0	0.0	0.0	AC024592.9	chr19	antisense	--
ENSG00000253225.1	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	RP11-1057N3.2	chr8	processed_pseudogene	--
ENSG00000178209.14	17.32	24.7	20.36	15.68	3.66	2.73	3.11	3.02	PLEC	chr8	protein_coding	plectin
ENSG00000175575.12	1.55	2.01	1.15	1.28	4.21	3.85	4.36	4.62	PAAF1	chr11	protein_coding	proteasomal ATPase-associated factor 1
ENSG00000186076.5	0.09	0.0	0.11	0.29	4.43	3.94	3.49	3.82	RP11-887P2.3	chr12	processed_pseudogene	--
ENSG00000249592.5	1.04	1.05	0.98	1.21	1.75	2.41	2.23	1.77	RP11-440L14.1	chr4	antisense	--
ENSG00000245719.1	0.02	0.04	0.04	0.18	0.01	0.02	0.03	0.03	RP11-34F13.2	chr15	lincRNA	--
ENSG00000198937.8	21.21	31.4	7.85	28.2	74.91	72.7	67.87	69.05	CCDC167	chr6	protein_coding	coiled-coil domain containing 167
ENSG00000220685.3	0.06	0.0	0.0	0.02	0.21	0.22	0.44	0.14	RP11-530A18.1	chr6	processed_pseudogene	--
ENSG00000189326.4	0.12	0.06	0.0	0.0	0.0	0.0	0.0	0.0	SPANXN4	chrX	protein_coding	SPANX family, member N4
ENSG00000172493.20	4.81	1.86	2.23	5.72	8.88	9.74	11.39	10.24	AFF1	chr4	protein_coding	AF4/FMR2 family, member 1
ENSG00000277728.1	0.0	0.08	0.53	0.18	0.18	0.3	0.22	0.43	RP11-143K11.7	chr17	antisense	--
ENSG00000277598.1	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	RP11-49E18.1	chr9	processed_pseudogene	--
ENSG00000244491.1	1.34	1.93	1.24	0.89	3.86	2.31	1.99	2.43	RP3-508I15.18	chr22	antisense	--
ENSG00000159259.7	0.56	0.46	0.49	2.79	16.14	15.02	17.47	16.23	CHAF1B	chr21	protein_coding	chromatin assembly factor 1, subunit B (p60)
ENSG00000188626.6	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	GOLGA8M	chr15	protein_coding	golgin A8 family, member M
ENSG00000113396.12	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	SLC27A6	chr5	protein_coding	solute carrier family 27 (fatty acid transporter), member 6
ENSG00000272625.1	1.36	1.13	1.13	0.8	0.11	0.11	0.09	0.12	RP11-737O24.5	chr18	antisense	--
ENSG00000148459.15	2.28	2.14	2.16	3.63	17.27	20.04	15.69	18.78	PDSS1	chr10	protein_coding	prenyl (decaprenyl) diphosphate synthase, subunit 1
ENSG00000255050.1	0.06	0.03	0.1	0.12	3.82	2.17	2.15	2.54	RP11-661A12.9	chr8	antisense	--
ENSG00000270800.1	1121.55	1406.11	535.59	686.51	1307.99	1267.12	1105.52	1250.17	RPS10-NUDT3	chr6	protein_coding	RPS10-NUDT3 readthrough
ENSG00000277371.1	0.39	0.69	0.43	0.1	0.0	0.14	0.0	0.0	Metazoa_SRP	chr10	misc_RNA	--
ENSG00000136628.17	11.57	8.86	4.67	13.59	23.64	31.9	29.5	34.95	EPRS	chr1	protein_coding	glutamyl-prolyl-tRNA synthetase
ENSG00000122912.14	2.18	1.75	1.35	2.09	1.57	1.99	1.71	1.7	SLC25A16	chr10	protein_coding	solute carrier family 25 (mitochondrial carrier), member 16
ENSG00000234177.5	0.0	0.0	0.01	0.0	0.07	0.03	0.02	0.05	LINC01114	chr2	lincRNA	long intergenic non-protein coding RNA 1114
ENSG00000080166.15	0.01	0.02	0.04	0.02	0.0	0.02	0.01	0.02	DCT	chr13	protein_coding	dopachrome tautomerase
ENSG00000234998.1	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	RP11-439A17.10	chr1	antisense	--
ENSG00000185518.11	0.01	0.01	0.03	0.0	0.04	0.03	0.02	0.04	SV2B	chr15	protein_coding	synaptic vesicle glycoprotein 2B
ENSG00000203896.9	0.03	0.12	0.03	0.07	0.0	0.0	0.0	0.0	LIME1	chr20	protein_coding	Lck interacting transmembrane adaptor 1
ENSG00000258479.5	0.03	0.09	0.15	0.04	0.03	0.04	0.05	0.02	LINC00640	chr14	lincRNA	long intergenic non-protein coding RNA 640
ENSG00000186298.11	30.66	16.25	14.82	45.66	40.96	53.09	44.19	48.45	PPP1CC	chr12	protein_coding	protein phosphatase 1, catalytic subunit, gamma isozyme
ENSG00000105679.8	0.0	0.05	0.0	0.0	0.21	0.19	0.14	0.12	GAPDHS	chr19	protein_coding	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
ENSG00000182712.15	7.66	6.0	3.61	6.05	7.64	9.12	7.88	8.4	CMC4	chrX	protein_coding	C-x(9)-C motif containing 4
ENSG00000203908.3	0.0	0.0	0.0	0.0	0.02	0.02	0.02	0.0	KHDC3L	chr6	protein_coding	KH domain containing 3-like, subcortical maternal complex member
ENSG00000255874.2	0.02	0.02	0.01	0.04	0.03	0.0	0.01	0.01	LINC00346	chr13	lincRNA	long intergenic non-protein coding RNA 346
ENSG00000244198.5	1.23	1.48	0.73	0.69	0.0	0.0	0.01	0.0	RP4-545C24.1	chr7	antisense	--
ENSG00000261634.3	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	RP11-352D13.6	chr15	antisense	--
ENSG00000086598.10	27.01	14.4	12.63	33.1	44.49	51.24	47.01	48.85	TMED2	chr12	protein_coding	transmembrane emp24 domain trafficking protein 2
ENSG00000159348.12	14.92	13.04	13.92	11.23	12.32	10.35	13.59	13.37	CYB5R1	chr1	protein_coding	cytochrome b5 reductase 1
ENSG00000104312.7	12.16	11.83	4.47	18.99	0.0	0.01	0.0	0.0	RIPK2	chr8	protein_coding	receptor-interacting serine-threonine kinase 2
ENSG00000227304.3	0.02	0.03	0.03	0.02	0.06	0.0	0.0	0.04	RP11-791G16.2	chr4	transcribed_processed_pseudogene	--
ENSG00000111796.3	58.57	105.69	8.4	15.15	0.0	0.01	0.01	0.0	KLRB1	chr12	protein_coding	killer cell lectin-like receptor subfamily B, member 1
ENSG00000135409.10	0.02	0.02	0.02	0.07	0.0	0.0	0.0	0.0	AMHR2	chr12	protein_coding	anti-Mullerian hormone receptor, type II
ENSG00000280260.1	0.27	0.15	0.0	0.52	0.08	0.0	0.0	0.11	AC017028.10	chr2	protein_coding	--
ENSG00000225159.1	0.0	0.0	0.0	0.03	0.07	0.09	0.07	0.0	NPM1P39	chr1	processed_pseudogene	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 39
ENSG00000237708.1	0.05	0.05	0.0	0.04	0.11	0.08	0.14	0.0	RP11-445O16.2	chrX	processed_pseudogene	--
ENSG00000215403.1	0.04	0.35	0.16	0.06	0.08	0.06	0.04	0.0	LL22NC01-81G9.3	chr22	antisense	--
ENSG00000196449.3	11.92	5.44	4.09	9.17	31.36	32.09	28.08	32.13	YRDC	chr1	protein_coding	yrdC N(6)-threonylcarbamoyltransferase domain containing
ENSG00000142546.13	102.7	163.96	67.81	72.86	131.54	115.36	104.73	108.24	NOSIP	chr19	protein_coding	nitric oxide synthase interacting protein
ENSG00000173467.8	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	AGR3	chr7	protein_coding	anterior gradient 3
ENSG00000121957.12	0.27	0.24	0.43	0.65	4.36	5.78	5.02	5.61	GPSM2	chr1	protein_coding	G-protein signaling modulator 2
ENSG00000207062.1	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	SNORA15	chr7	snoRNA	small nucleolar RNA, H/ACA box 15
ENSG00000196652.11	1.52	1.12	1.55	2.17	5.69	6.34	6.08	6.05	ZKSCAN5	chr7	protein_coding	zinc finger with KRAB and SCAN domains 5
ENSG00000259153.1	0.29	0.49	0.06	0.35	2.14	2.54	2.26	2.28	RP6-65G23.3	chr14	lincRNA	--
ENSG00000147174.11	1.27	1.28	0.43	0.98	0.9	1.02	0.9	1.03	ACRC	chrX	protein_coding	acidic repeat containing
ENSG00000108010.11	7.4	5.79	3.41	11.99	24.27	30.12	20.02	25.58	GLRX3	chr10	protein_coding	glutaredoxin 3
ENSG00000271286.1	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	LL0XNC01-39B3.1	chrX	processed_pseudogene	--
ENSG00000278849.1	0.02	0.0	0.0	0.0	0.0	0.03	0.0	0.04	RP11-327I22.5	chr9	lincRNA	--
ENSG00000275318.1	0.2	0.21	0.17	0.71	1.01	1.13	1.42	1.13	RP11-526D8.11	chr9	unprocessed_pseudogene	--
ENSG00000182040.8	0.0	0.0	0.0	0.0	0.1	0.08	0.07	0.1	USH1G	chr17	protein_coding	Usher syndrome 1G (autosomal recessive)
ENSG00000270069.1	0.7	0.26	0.41	1.35	0.15	0.16	0.16	0.11	MIR222HG	chrX	lincRNA	MIR222 host gene
ENSG00000271150.1	0.0	0.0	0.0	0.0	0.23	0.22	0.39	0.32	CTD-2571L23.9	chr19	processed_pseudogene	--
ENSG00000224790.1	0.5	0.53	0.0	0.0	0.9	0.72	1.0	0.65	AP000704.5	chr21	lincRNA	--
ENSG00000277999.1	1.77	4.47	3.47	1.38	0.04	0.0	0.0	0.0	RP11-426C22.8	chr16	lincRNA	--
ENSG00000185627.17	31.65	38.2	42.16	71.51	109.13	106.13	97.61	108.23	PSMD13	chr11	protein_coding	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13
ENSG00000214193.9	0.34	0.43	0.87	0.13	1.48	1.28	1.26	1.29	SH3D21	chr1	protein_coding	SH3 domain containing 21
ENSG00000186352.8	2.03	1.9	1.32	2.37	1.7	2.0	1.61	1.68	ANKRD37	chr4	protein_coding	ankyrin repeat domain 37
ENSG00000278690.1	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RP11-104J23.2	chr17	lincRNA	--
ENSG00000107821.14	0.0	0.04	0.0	0.03	2.01	1.63	1.94	1.72	KAZALD1	chr10	protein_coding	Kazal-type serine peptidase inhibitor domain 1
ENSG00000130309.10	22.46	24.03	19.64	21.42	31.41	29.89	30.57	31.37	COLGALT1	chr19	protein_coding	collagen beta(1-O)galactosyltransferase 1
ENSG00000117505.12	6.55	2.62	3.31	8.44	9.8	12.18	10.81	11.51	DR1	chr1	protein_coding	down-regulator of transcription 1, TBP-binding (negative cofactor 2)
ENSG00000280061.1	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.0	CTD-2001J20.1	chr19	TEC	--
ENSG00000257940.1	0.13	0.07	0.07	0.0	0.0	0.0	0.0	0.0	RP11-248E9.6	chr12	lincRNA	--
ENSG00000203414.2	0.05	0.24	0.11	0.11	0.0	0.0	0.0	0.0	BTBD7P1	chr10	processed_pseudogene	BTB (POZ) domain containing 7 pseudogene 1
ENSG00000253917.4	0.05	0.06	0.12	0.04	2.06	1.68	1.65	2.1	AC226119.5	chr4	processed_transcript	--
ENSG00000273514.1	0.0	0.0	0.0	0.0	0.03	0.01	0.02	0.04	FOXD4L6	chr9	protein_coding	forkhead box D4-like 6
ENSG00000186566.11	2.56	2.19	1.03	3.38	8.45	8.4	10.52	8.81	GPATCH8	chr17	protein_coding	G patch domain containing 8
ENSG00000164764.10	0.0	0.04	0.03	0.0	0.02	0.03	0.03	0.02	SBSPON	chr8	protein_coding	somatomedin B and thrombospondin, type 1 domain containing
ENSG00000109084.13	0.98	0.82	0.34	2.22	48.6	49.25	52.23	51.95	TMEM97	chr17	protein_coding	transmembrane protein 97
ENSG00000273091.1	0.16	0.46	0.0	0.04	0.18	0.15	0.25	0.17	AP000255.6	chr21	lincRNA	--
ENSG00000104221.12	3.57	2.46	2.0	3.51	8.62	8.4	8.77	8.9	BRF2	chr8	protein_coding	BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit
ENSG00000143437.20	4.42	3.45	5.02	5.98	8.98	8.43	9.8	9.01	ARNT	chr1	protein_coding	aryl hydrocarbon receptor nuclear translocator
ENSG00000255038.1	0.43	0.92	0.41	0.11	0.0	0.12	0.0	0.0	RP11-1167A19.2	chr11	antisense	--
ENSG00000256427.1	4.05	0.69	0.0	1.46	0.0	0.0	0.0	0.0	RP11-118B22.4	chr12	lincRNA	--
ENSG00000278467.1	0.06	0.0	0.0	0.05	0.25	0.45	0.55	0.2	RP11-504P24.9	chr1	lincRNA	--
ENSG00000186193.8	0.99	1.0	2.43	2.87	24.95	22.81	22.75	21.75	SAPCD2	chr9	protein_coding	suppressor APC domain containing 2
ENSG00000226824.6	0.57	0.52	0.1	0.07	0.43	0.67	0.81	0.28	RP4-756H11.3	chr7	sense_intronic	--
ENSG00000233064.2	0.18	0.09	0.1	0.33	0.05	0.05	0.0	0.0	RP3-380B8.4	chr6	lincRNA	--
ENSG00000050555.17	0.03	0.09	0.07	0.03	0.2	0.18	0.13	0.13	LAMC3	chr9	protein_coding	laminin, gamma 3
ENSG00000281156.1	0.4	0.86	0.91	0.3	2.07	1.31	0.23	1.91	MIR3651	chr9	miRNA	microRNA 3651
ENSG00000244502.2	0.0	0.0	0.08	0.0	0.32	0.15	0.28	0.11	HDAC11-AS1	chr3	antisense	HDAC11 antisense RNA 1
ENSG00000200488.1	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RN7SKP203	chr2	misc_RNA	RNA, 7SK small nuclear pseudogene 203
ENSG00000106070.17	0.39	1.08	8.01	1.17	0.15	0.14	0.16	0.19	GRB10	chr7	protein_coding	growth factor receptor-bound protein 10
ENSG00000152749.7	0.78	0.28	0.15	0.52	1.91	2.44	2.08	2.49	GPR180	chr13	protein_coding	G protein-coupled receptor 180
ENSG00000113525.9	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.04	IL5	chr5	protein_coding	interleukin 5
ENSG00000279190.1	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	RP11-534P6.1	chr12	TEC	--
ENSG00000167670.15	3.39	2.97	3.09	8.77	45.54	44.05	46.52	43.72	CHAF1A	chr19	protein_coding	chromatin assembly factor 1, subunit A (p150)
ENSG00000231703.2	0.03	0.01	0.05	0.01	0.0	0.0	0.0	0.03	RP4-669H2.1	chr20	antisense	--
ENSG00000211856.1	0.64	0.0	0.0	0.48	0.0	0.0	0.0	0.0	TRAJ33	chr14	TR_J_gene	T cell receptor alpha joining 33
ENSG00000168077.13	0.0	0.0	0.0	0.01	0.65	0.57	0.7	0.71	SCARA3	chr8	protein_coding	scavenger receptor class A, member 3
ENSG00000234536.1	0.19	0.0	0.11	0.07	1.02	0.87	1.19	1.04	GTF2IP13	chr7	unprocessed_pseudogene	--
ENSG00000139352.3	0.0	0.02	0.0	0.0	0.01	0.02	0.0	0.0	ASCL1	chr12	protein_coding	achaete-scute family bHLH transcription factor 1
ENSG00000247137.8	0.4	0.38	0.38	0.23	1.07	1.38	1.22	1.02	RP11-727A23.5	chr11	processed_transcript	--
ENSG00000230449.1	0.0	0.0	0.0	0.04	0.0	0.0	0.03	0.0	RPL7P4	chr6	processed_pseudogene	ribosomal protein L7 pseudogene 4
ENSG00000102897.9	6.85	4.17	7.23	9.76	9.26	10.89	8.88	10.11	LYRM1	chr16	protein_coding	LYR motif containing 1
ENSG00000272905.1	0.05	0.0	0.0	0.0	0.09	0.12	0.0	0.04	RP11-265E18.1	chr7	lincRNA	--
ENSG00000203778.7	0.24	0.32	0.3	0.12	7.46	7.51	6.12	7.23	FAM229B	chr6	protein_coding	family with sequence similarity 229, member B
ENSG00000170759.10	13.01	13.61	13.78	15.18	17.84	24.58	24.11	25.14	KIF5B	chr10	protein_coding	kinesin family member 5B
ENSG00000142875.19	11.99	4.45	1.4	12.14	3.31	4.48	4.3	4.5	PRKACB	chr1	protein_coding	protein kinase, cAMP-dependent, catalytic, beta
ENSG00000006747.14	0.05	0.03	0.04	0.03	0.0	0.0	0.0	0.0	SCIN	chr7	protein_coding	scinderin
ENSG00000260152.2	0.0	0.06	0.47	0.04	0.0	0.0	0.0	0.0	RP11-69H7.4	chr15	processed_pseudogene	--
ENSG00000240790.1	0.0	0.0	0.0	0.0	0.04	0.04	0.21	0.06	AC073934.6	chr7	antisense	--
ENSG00000279520.1	2.89	1.35	3.41	3.44	0.31	0.18	0.2	0.28	RP11-20I23.2	chr16	TEC	--
ENSG00000172538.6	0.03	0.0	0.0	0.08	0.0	0.0	0.0	0.0	FAM170B	chr10	protein_coding	family with sequence similarity 170, member B
ENSG00000272092.1	0.4	0.28	0.26	0.32	0.32	0.54	0.27	0.29	RP11-350N15.5	chr8	lincRNA	--
ENSG00000164308.16	20.75	6.51	10.41	22.06	5.32	6.39	6.73	6.96	ERAP2	chr5	protein_coding	endoplasmic reticulum aminopeptidase 2
ENSG00000239899.3	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	RN7SL674P	chr2	misc_RNA	RNA, 7SL, cytoplasmic 674, pseudogene
ENSG00000143603.18	0.05	0.08	0.11	0.12	0.01	0.01	0.0	0.02	KCNN3	chr1	protein_coding	potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 3
ENSG00000182831.11	4.53	2.52	7.64	6.99	6.64	8.18	7.57	7.59	C16orf72	chr16	protein_coding	chromosome 16 open reading frame 72
ENSG00000272921.1	16.85	6.38	5.14	27.41	80.32	74.09	76.9	79.13	RP11-500M8.7	chr12	protein_coding	--
ENSG00000266578.1	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	RP11-838N2.5	chr18	lincRNA	--
ENSG00000240288.7	0.91	0.72	0.74	1.01	0.18	0.15	0.49	0.3	GHRLOS	chr3	antisense	ghrelin opposite strand/antisense RNA
ENSG00000164175.14	0.0	0.0	0.03	0.0	0.01	0.06	0.01	0.0	SLC45A2	chr5	protein_coding	solute carrier family 45, member 2
ENSG00000177359.17	0.32	0.31	0.04	0.01	0.37	0.47	0.47	0.44	OVOS2	chr12	protein_coding	--
ENSG00000265662.1	0.0	1.16	0.82	0.27	0.0	0.0	0.0	0.0	AL354981.1	chr9	miRNA	--
ENSG00000276568.1	0.64	0.54	1.72	0.77	0.0	0.0	0.0	0.1	Metazoa_SRP	chr19	misc_RNA	--
ENSG00000076928.17	148.64	179.5	137.09	128.29	45.54	38.16	43.33	40.28	ARHGEF1	chr19	protein_coding	Rho guanine nucleotide exchange factor (GEF) 1
ENSG00000158714.10	1.02	1.1	0.3	1.72	0.07	0.03	0.03	0.08	SLAMF8	chr1	protein_coding	SLAM family member 8
ENSG00000157212.18	2.24	0.71	0.77	3.89	13.99	15.29	14.87	15.04	PAXIP1	chr7	protein_coding	PAX interacting (with transcription-activation domain) protein 1
ENSG00000163320.10	15.87	6.48	5.99	13.96	16.71	21.28	21.9	21.83	CGGBP1	chr3	protein_coding	CGG triplet repeat binding protein 1
ENSG00000203667.9	11.64	7.17	6.66	11.75	6.36	8.28	5.75	6.41	COX20	chr1	protein_coding	COX20 cytochrome c oxidase assembly factor
ENSG00000179954.14	0.09	0.06	0.06	0.04	0.04	0.03	0.05	0.06	SSC5D	chr19	protein_coding	scavenger receptor cysteine rich family, 5 domains
ENSG00000280365.1	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	RP11-9H20.2	chr18	TEC	--
ENSG00000241082.3	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	RN7SL259P	chr11	misc_RNA	RNA, 7SL, cytoplasmic 259, pseudogene
ENSG00000233929.1	2.15	4.78	4.83	1.32	0.11	0.0	0.22	0.15	MT1XP1	chr1	processed_pseudogene	metallothionein 1X pseudogene 1
ENSG00000242759.6	0.03	0.05	0.05	0.02	0.05	0.07	0.11	0.06	LINC00882	chr3	lincRNA	long intergenic non-protein coding RNA 882
ENSG00000130244.12	13.04	14.53	13.9	11.78	18.64	17.49	16.68	18.97	FAM98C	chr19	protein_coding	family with sequence similarity 98, member C
ENSG00000201302.1	0.84	0.3	0.94	0.42	0.8	1.67	0.48	1.1	SNORA65	chr9	snoRNA	small nucleolar RNA, H/ACA box 65
ENSG00000198060.9	4.84	1.74	3.38	6.45	9.52	11.46	10.6	10.62	MARCH5	chr10	protein_coding	membrane-associated ring finger (C3HC4) 5
ENSG00000221887.5	0.05	0.02	0.02	0.04	0.0	0.0	0.0	0.0	HMSD	chr18	protein_coding	histocompatibility (minor) serpin domain containing
ENSG00000185104.19	4.23	3.56	2.62	4.3	11.68	11.81	12.79	12.61	FAF1	chr1	protein_coding	Fas (TNFRSF6) associated factor 1
ENSG00000272800.1	0.6	0.07	0.23	0.1	0.52	0.86	0.56	0.9	RP11-438L19.1	chr2	lincRNA	--
ENSG00000226220.1	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	CICP22	chr7	processed_pseudogene	capicua transcriptional repressor pseudogene 22
ENSG00000101182.14	75.94	72.99	65.92	102.32	203.16	212.25	174.42	194.9	PSMA7	chr20	protein_coding	proteasome (prosome, macropain) subunit, alpha type, 7
ENSG00000259833.5	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	RP11-23E19.1	chr16	antisense	--
ENSG00000256282.1	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	RP11-504G3.4	chr11	transcribed_processed_pseudogene	--
ENSG00000267769.1	0.57	0.3	0.16	0.32	1.26	0.5	0.9	0.79	CTB-50L17.9	chr19	antisense	--
ENSG00000233232.6	0.24	0.78	0.44	0.22	0.1	0.13	0.07	0.19	NPIPB7	chr16	protein_coding	nuclear pore complex interacting protein family, member B7
ENSG00000198816.5	3.8	11.45	2.82	1.77	0.01	0.01	0.04	0.0	ZNF358	chr19	protein_coding	zinc finger protein 358
ENSG00000220563.1	0.3	0.11	0.06	0.19	0.03	0.19	0.2	0.24	PKMP3	chr6	processed_pseudogene	pyruvate kinase, muscle pseudogene 3
ENSG00000196411.9	1.6	1.2	2.85	0.52	0.32	0.26	0.33	0.27	EPHB4	chr7	protein_coding	EPH receptor B4
ENSG00000266053.2	3.19	2.99	3.36	2.12	0.48	0.59	0.73	0.66	NDUFV2-AS1	chr18	antisense	NDUFV2 antisense RNA 1
ENSG00000169495.4	0.17	0.26	0.37	0.44	0.0	0.01	0.01	0.0	HTRA4	chr8	protein_coding	HtrA serine peptidase 4
ENSG00000260088.1	0.15	0.16	0.33	0.19	0.08	0.19	0.11	0.19	RP11-92G12.3	chr1	lincRNA	--
ENSG00000213222.3	0.0	0.0	0.0	0.0	0.12	0.08	0.02	0.0	AC093724.2	chr2	processed_pseudogene	--
ENSG00000269921.1	0.62	0.29	0.23	0.46	0.27	0.63	0.79	0.65	RP11-646I6.5	chr4	lincRNA	--
ENSG00000105278.10	0.07	0.26	0.05	0.19	0.0	0.0	0.0	0.0	ZFR2	chr19	protein_coding	zinc finger RNA binding protein 2
ENSG00000237007.4	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	KRT18P52	chr2	processed_pseudogene	keratin 18 pseudogene 52
ENSG00000224079.1	0.0	0.0	0.05	0.0	0.0	0.02	0.0	0.0	AC091729.7	chr7	antisense	--
ENSG00000269191.1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	AC005387.2	chr19	antisense	--
ENSG00000173914.11	1.96	1.54	1.43	1.64	4.79	4.94	5.07	5.37	RBM4B	chr11	protein_coding	RNA binding motif protein 4B
ENSG00000244167.1	0.0	0.0	0.0	0.0	0.17	0.26	0.34	0.15	RP4-733B9.1	chr7	processed_pseudogene	--
ENSG00000149599.15	0.01	0.05	0.0	0.0	0.09	0.08	0.12	0.1	DUSP15	chr20	protein_coding	dual specificity phosphatase 15
ENSG00000274992.1	0.72	0.77	0.81	0.27	0.0	0.0	0.0	0.0	AC008547.1	chr5	miRNA	--
ENSG00000168237.17	7.29	10.97	5.76	7.1	5.25	4.49	4.0	4.62	GLYCTK	chr3	protein_coding	glycerate kinase
ENSG00000277998.1	0.35	0.0	0.13	0.17	0.0	0.06	0.0	0.0	RP11-452N17.1	chr2	unprocessed_pseudogene	--
ENSG00000231876.7	0.09	0.36	0.32	0.19	0.11	0.17	0.08	0.11	AC009158.1	chr16	lincRNA	--
ENSG00000253282.1	0.1	0.85	0.28	0.11	0.0	0.0	0.03	0.0	KB-1410C5.3	chr8	lincRNA	--
ENSG00000120690.13	20.18	5.08	12.62	34.57	23.94	29.52	30.37	30.1	ELF1	chr13	protein_coding	E74-like factor 1 (ets domain transcription factor)
ENSG00000272994.1	1.02	0.71	0.44	1.05	0.66	1.02	0.77	0.75	RP11-332H14.2	chr2	lincRNA	--
ENSG00000275350.1	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	RP11-329N22.2	chr1	processed_pseudogene	--
ENSG00000143776.18	0.07	0.06	0.02	0.06	2.85	3.43	4.17	4.03	CDC42BPA	chr1	protein_coding	CDC42 binding protein kinase alpha (DMPK-like)
ENSG00000166787.3	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	SAA3P	chr11	transcribed_unprocessed_pseudogene	serum amyloid A3 pseudogene
ENSG00000275591.4	0.01	0.02	0.05	0.02	0.26	0.17	0.22	0.29	XKR5	chr8	protein_coding	XK, Kell blood group complex subunit-related family, member 5
ENSG00000245694.8	0.3	0.12	0.05	0.37	22.34	27.25	21.3	26.11	CRNDE	chr16	lincRNA	colorectal neoplasia differentially expressed (non-protein coding)
ENSG00000252452.1	0.36	0.38	0.0	0.0	0.0	0.0	0.0	0.0	RNU6-107P	chr2	snRNA	RNA, U6 small nuclear 107, pseudogene
ENSG00000189136.8	0.37	0.48	0.39	0.08	0.48	0.83	0.78	0.29	UBE2Q2P1	chr15	transcribed_unprocessed_pseudogene	ubiquitin-conjugating enzyme E2Q family member 2 pseudogene 1
ENSG00000251676.1	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	RP11-614F17.2	chr4	lincRNA	--
ENSG00000234608.7	17.82	17.13	7.61	11.52	9.46	10.44	9.0	10.7	MAPKAPK5-AS1	chr12	lincRNA	MAPKAPK5 antisense RNA 1
